site_report	date	lab_id	total_test	result_pending	total_positive	total_negative
1	1/28/2020	NPHL	4	1	1	2
2	1/29/2020	NPHL	4	0	1	3
3	1/30/2020	NPHL	5	0	1	4
4	1/31/2020	NPHL	5	0	1	4
5	2/2/2020	NPHL	6	1	1	4
6	2/4/2020	NPHL	14	0	1	13
7	2/5/2020	NPHL	14	0	1	13
8	2/6/2020	NPHL	18	0	1	17
9	2/7/2020	NPHL	18	0	1	17
10	2/9/2020	NPHL	18	0	1	17
11	2/10/2020	NPHL	18	0	1	17
12	2/11/2020	NPHL	18	0	1	17
13	2/12/2020	NPHL	20	0	1	19
14	2/13/2020	NPHL	24	0	1	23
15	2/14/2020	NPHL	24	0	1	23
16	2/16/2020	NPHL	34	0	1	33
17	2/17/2020	NPHL	34	0	1	33
18	2/18/2020	NPHL	35	0	1	34
19	2/19/2020	NPHL	210	0	1	209
20	2/20/2020	NPHL	212	0	1	211
21	2/23/2020	NPHL	216	0	1	215
22	2/24/2020	NPHL	217	0	1	216
23	2/25/2020	NPHL	217	0	1	216
24	2/26/2020	NPHL	221	0	1	221
25	2/25/2020	NPHL	221	0	1	220
26	2/28/2020	NPHL	224	0	1	223
27	3/1/2020	NPHL	243	0	1	242
28	3/2/2020	NPHL	425	0	1	424
29	3/3/2020	NPHL	433	0	1	432
30	3/4/2020	NPHL	433	0	1	432
31	3/6/2020	NPHL	437	0	1	436
32	3/10/2020	NPHL	445	0	1	444
33	3/11/2020	NPHL	447	0	1	446
34	3/12/2020	NPHL	450	0	1	449
35	3/13/2020	NPHL	456	0	1	455
36	3/15/2020	NPHL	467	0	1	466
37	3/16/2020	NPHL	478	0	1	477
38	3/17/2020	NPHL	496	0	1	495
39	3/18/2020	NPHL	512	0	1	511
40	3/19/2020	NPHL	529	0	1	528
41	3/20/2020	NPHL	546	0	1	545
42	3/22/2020	NPHL	572	0	1	571
43	3/23/2020	NPHL	610	0	2	607
44	3/24/2020	NPHL	610	0	2	608
45	3/25/2020	NPHL	687	0	3	684
46	3/26/2020	NPHL	758	0	3	755
47	3/27/2020	NPHL	802	0	3	799
48	3/28/2020	NPHL	875	0	5	870
49	3/29/2020	NPHL	917	0	5	912
50	3/30/2020	NPHL	993	0	5	988
51	3/31/2020	NPHL	1060	0	5	1055
52	4/1/2020	NPHL	1133	0	5	1128
52	4/1/2020	BPKIHS	12	0	0	12
53	4/2/2020	NPHL	1170	0	6	1164
53	4/2/2020	BPKIHS	12	0	0	12
53	4/2/2020	POKAHS	3	0	0	3
54	4/3/2020	NPHL	1229	0	6	1223
54	4/3/2020	BPKIHS	39	15	0	39
54	4/3/2020	VBDRTC	0	5	0	0
54	4/3/2020	POKAHS	19	13	0	6
54	4/3/2020	JPH	0	5	0	0
54	4/3/2020	SEPH	4	3	0	1
54	4/3/2020	SUPH	7	4	0	3
55	4/4/2020	NPHL	1441	0	9	1432
55	4/4/2020	BPKIHS	36	0	0	36
55	4/4/2020	JPH	0	6	0	0
55	4/4/2020	POKAHS	19	6	0	19
55	4/4/2020	SUPH	23	0	0	23
55	4/4/2020	SEPH	2	0	0	2
56	4/5/2020	NPHL	1529	0	9	1520
56	4/5/2020	BPKIHS	36	14	0	36
56	4/5/2020	JPH	6	2	0	6
56	4/5/2020	POKAHS	28	9	0	28
56	4/5/2020	SUPH	35	1	0	35
56	4/5/2020	SEPH	8	1	0	8
56	4/5/2020	VBDRTC	0	15	0	0
57	4/6/2020	NPHL	1697	0	9	1688
57	4/6/2020	BPKIHS	48	17	0	48
57	4/6/2020	JPH	6	25	0	6
57	4/6/2020	POKAHS	28	26	0	28
57	4/6/2020	SUPH	48	11	0	48
57	4/6/2020	SEPH	15	4	0	15
57	4/6/2020	VBDRTC	25	0	0	25
57	4/6/2020	DH	17	0	0	17
57	4/6/2020	PPHLSN	1	26	0	1
57	4/6/2020	NADIL	5	0	0	5
58	4/7/2020	NPHL	1796	0	9	1787
58	4/7/2020	BPKIHS	65	18	0	65
58	4/7/2020	JPH	15	16	0	15
58	4/7/2020	POKAHS	50	43	0	50
58	4/7/2020	SUPH	59	22	0	59
58	4/7/2020	SEPH	19	25	0	19
58	4/7/2020	VBDRTC	40	15	0	40
58	4/7/2020	DH	17	0	0	17
58	4/7/2020	PPHLSN	28	15	0	28
58	4/7/2020	NADIL	21	13	0	21
59	4/8/2020	NPHL	1965	0	9	1956
59	4/8/2020	BPKIHS	83	40	0	83
59	4/8/2020	JPH	18	4	0	18
59	4/8/2020	POKAHS	74	82	0	74
59	4/8/2020	SUPH	71	18	0	71
59	4/8/2020	SEPH	26	0	0	26
59	4/8/2020	VBDRTC	51	3	0	51
59	4/8/2020	DH	17	8	0	17
59	4/8/2020	PPHLSN	28	8	0	28
59	4/8/2020	NADIL	33	16	0	33
60	4/9/2020	NPHL	2382	0	9	2373
60	4/9/2020	BPKIHS	83	43	0	83
60	4/9/2020	JPH	22	10	0	22
60	4/9/2020	POKAHS	135	78	0	135
60	4/9/2020	SUPH	83	9	0	83
60	4/9/2020	SEPH	33	4	0	33
